talk: 10分のタイマーを10時間でセットした	はははっは！
talk: 迷子になった	近くの人に道聞いたら何とかなる！
talk: 迷惑メール	無視無視！
talk: 逃げたい	逃げるは恥だが役に立つ！
talk: 逃した	魚は大きい
talk: 逆向きの電車に乗った	冒険だ
talk: 連絡[するの|をし]忘れた	謝罪連絡しよう
talk: 連絡ミスをした	謝罪連絡しよう
talk: 連絡先きくの忘れた	運命の人だったかもね
talk: 進学どうしよう	先輩や先生に相談しよう
talk: 進路[が|]決まらない	よく考えよう
talk: 進路に迷う	自分を信じて！どの選択でも君次第！
talk: 遅刻しそう	ゆっくりおいで
talk: 遊びたい	やることやって遊んだらええ。
talk: 遊びに行く日に雨が降った	雨の日しかできないこと考えよ
talk: 遊びに行けない	お金貯めて収まったら遊びに行こう！
talk: 遊ぶ予定がなくなった	また今度会えるよ
talk: 遊んでいると帰りたくなくなる	楽しいもんね
talk: 運転が上手くならない	マリオカートで練習しよ！
talk: 道がわからない	ググって
talk: 道がわからなくなった	ググって
talk: 道が暗くて不気味	危険！
talk: 道に迷った	ググって
talk: 遠くの人の足元まで消しゴムが転がった	後で取りに行こう…
talk: 遠出してないな	年末だしどっか行っちゃおうよ
talk: 遠回しに悪口を書かれた	無視しな
talk: 部屋[|が]汚い	掃除しよう
talk: [部屋に|]ゴキブリが出た	怖すぎ
talk: 部屋に虫がいる	怖すぎ
talk: 部屋の電気消さずに家でちゃった	あるある
talk: 部屋中がニンニクくさい	何食べたん？？
talk: 部屋汚い	片付けよう！
talk: 部屋番号を間違えた	あら、ドジっ子ちゃん〜
talk: 部屋着の上から服を着た	たまにあるね
talk: 郵便[が|]届かない	気長に待ってみよう
talk: 酔っ払いに絡まれた	上手くかわそう
talk: 重い仕事を任せられる	君ならできる
talk: 野菜が値上げした	今年は不作だったのかね
talk: 野菜[|が]嫌い	無理しない程度に慣れよう
talk: 金遣いが荒い	気をつけなきゃね
talk: 録画してない	親に連絡しよ
talk: 録画[|を]忘れた	YouTubeとかで見られるよ
talk: 鍵[|を]しめ忘れた	早めに帰ろう
talk: 鍵をかけ忘れたかも…	ゆっくり自分の行動を思い出して
talk: 鍵[|を]なくした	一緒に探そうか
talk: 鍵[|を]忘れた	忘れないように玄関に置こう
talk: 長引いた	その分勉強できるね
talk: 間に合わなかった	まだ待ってるかも
talk: 間違えて資料消しちゃった	次はいいの作れるよ
talk: 間違えて送っちゃった	そういうこともあるよ
talk: 限界まで働いている	無理しちゃだめだよ
talk: 陰口を言われた	気にしちゃだめだよ！
talk: 階段から落ちた	七転び八起き
talk: 階段で転んだ	七転び八起き
talk: 階段を上るだけで息切れする	もうそんな歳なの？
talk: 階段[が|]辛い	いい運動になるね
talk: 集中力[が|]ない	好きなものじゃないと難しいね
talk: 集中力[が|]続かない	好きなものじゃないと難しいね
talk: 集合時間[が|]わからない	聞いてみよう
talk: 集合時間[が|]早すぎ	早起きは三文の徳
talk: 雇ってくれる会社あるかな	たぶんある
talk: 難しいことが出来ない	わかる、
talk: 雨[が|]降ってきた	傘ある？
talk: [雨で|]イベントが中止になる	楽しみにしてたのにね、、
talk: 雨で服が濡れた	わかる！
talk: 雨で洗濯ができない	晴れないかね
talk: 雨なのにバイトある…	頑張って✧＼ ٩(•́ι_•̀ )و ／✧
talk: 雨に[濡れた|降られた]	風邪ひかないように！
talk: 電気をつけっぱなしにした	次気をつければいいんだよ
talk: 電話も出ない	少し時間をおこう
talk: 電車[が|]止まった	予定狂うね
talk: 電車[が|]止まって帰れない	予定狂うね
talk: 電車[が|][遅れている|遅延してる]	予定狂うね
talk: 電車で貧血になった	それは辛い
talk: 電車に乗り遅れた	乗り換えでダッシュ！
talk: 電車に乗り間違えた	新しい旅の始まり！
talk: 電車に傘を忘れた	しょうがないよ
talk: 電車に間に合わなかった	乗り換えでダッシュ！
talk: 電車の時間に間に合わなかった	乗り換えでダッシュ！
talk: 電車[を|]間違えた	慌てないで確認しよう！
talk: 電車[を|]乗り過ごした	あるあるだわ
talk: 面接[|に受かっているか]心配	いい結果くるよ！
talk: 面接[が|]むずかった	いい結果くるよ！
talk: 面接官[が|]怖かった	どんな感じ？
talk: 靴下[が|]左右で違った	新しい靴下買っちゃお！
talk: 靴下[が|]バラバラだった	それはそれであり
talk: 靴擦れした	カットバン派？絆創膏派？
talk: 靴[|が]汚れた	洗えばいい
talk: 韓国[に|]行きたい	コロナ収まれー
talk: 音漏れしてた	そういうときもあるさ
talk: 頭[が|]痛い	パソコンの見過ぎなんじゃない？
talk: 頭痛が痛い	頭痛が痛いってっ！あんた…
talk: 顔が汚れて力が出ない	新しい顔だよ！(⚈ ⚈͜ ⚈)彡
talk: 風が吹いていて寒い	冬だね～
talk: 風邪かも	お大事に
talk: 風邪[が|]治らない	無理しないで
talk: 風邪[|を]ひいた	お大事に
talk: 飛行機乗り遅れた	仕方ないからリカバリしていこう
talk: 食べたいものが多すぎて辛い	運動すれば大丈夫
talk: 食べたものが消費期限切れだった	変な味しなかった？
talk: 食べられないものがある	それだけ残そう
talk: 食べ過ぎた	運動すれば大丈夫
talk: 食パンかじって出かけたら角で人とぶつかった	漫画家よ！！！
talk: 食材[を|]買い忘れた	でもその食材が欠けていても美味しいでしょ？
talk: 飲み物[を|]こぼした	パソコンにかけないで
talk: 馬が合わない人がいる	それが人生
talk: 馬鹿にされた	馬鹿にされるだけ愛嬌がある
talk: 骨折した	お大事に
talk: 高級パンケーキ[|を]焦がした	ぴえん越えてぱおん
talk: 髪の毛染めたら変な色にされた	その美容院には2度と行かないようにしよう
talk: 髪色[が|]決まらない	ブロンドがおすすめ
talk: 魚を逃した	逃した魚は大きいぞ！
talk: 鳥のフンがかかった	マジ萎えるよねぇ
talk: 鼻水[が|]止まらない	今日は寒いね
talk: [購入の|]予約を忘れた	買えることを祈ろう！
